                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5345,                   7.08,                 2.6519,                 0.1511,                0.19118,                0.05783,                0.01548,                 2.8261,                 8.6355,                 2.8499,                 0.0002,                 0.0002,                 0.0002
                      2,                 2.3053,                 3.2771,                 2.2606,                0.24477,                0.19118,                0.11165,                 0.0354,                 2.9848,                 5.8689,                 3.3369,             0.00041792,             0.00041792,             0.00041792
                      3,                 2.2245,                 2.5134,                 2.1383,                0.06591,                0.11765,                0.05308,                0.00893,                 3.0125,                 9.2972,                 3.9425,             0.00063366,             0.00063366,             0.00063366
                      4,                 2.3459,                 2.4665,                 2.1446,                0.09657,                0.14706,                0.03228,                0.00754,                 3.1309,                 3.7033,                 3.5659,             0.00084723,             0.00084723,             0.00084723
                      5,                 2.4431,                 2.4714,                 2.1948,                0.06968,                0.19118,                0.03003,                0.00822,                 2.9766,                 11.368,                 3.8201,              0.0010586,              0.0010586,              0.0010586
                      6,                 2.3885,                 2.3259,                 2.1672,                0.33333,                0.11765,                 0.0711,                0.01895,                 3.2622,                 10.462,                 5.7074,              0.0012678,              0.0012678,              0.0012678
                      7,                  2.408,                  2.355,                 2.2575,                0.00438,                0.27941,                0.00237,                0.00078,                  3.503,                    inf,                 14.882,              0.0014749,              0.0014749,              0.0014749
                      8,                  2.457,                 2.3514,                 2.1643,                0.00211,                0.07353,                  0.001,                0.00031,                 3.7875,                 31.352,                 9.8939,              0.0016797,              0.0016797,              0.0016797
                      9,                 2.2464,                 2.3008,                 2.0934,                0.00792,                0.17647,                0.00379,                0.00105,                 3.4475,                 267.61,                 8.8376,              0.0018824,              0.0018824,              0.0018824
                     10,                 2.3454,                 2.2639,                 2.1502,                0.04596,                0.36765,                0.02514,                0.00591,                 3.0715,                 94.144,                 8.0078,              0.0019109,              0.0019109,              0.0019109
                     11,                 2.3356,                 2.2767,                 2.2005,                0.10116,                0.14706,                0.04174,                0.00848,                 3.4371,                 8.8841,                 3.9924,               0.001901,               0.001901,               0.001901
                     12,                 2.3831,                 2.3029,                 2.2313,                0.04557,                0.11765,                0.00854,                0.00196,                 4.1193,                 7.6372,                 4.7796,              0.0018911,              0.0018911,              0.0018911
                     13,                 2.4732,                 2.3591,                 2.2215,                0.02992,                0.16176,                0.01106,                0.00248,                 3.6669,                 12.201,                  4.324,              0.0018812,              0.0018812,              0.0018812
                     14,                 2.3437,                 2.2007,                 2.1948,                0.02677,                0.08824,                0.00703,                0.00176,                 3.9044,                 4.6151,                  4.091,              0.0018713,              0.0018713,              0.0018713
                     15,                 2.2535,                 2.1217,                 2.1306,                0.31529,                0.13235,                0.07547,                0.02134,                 3.1685,                 6.3578,                 3.4554,              0.0018614,              0.0018614,              0.0018614
                     16,                 2.3172,                 2.2089,                 2.2028,                0.03027,                0.10294,                0.00902,                0.00149,                 3.6566,                  16.08,                 7.3452,              0.0018515,              0.0018515,              0.0018515
                     17,                 2.3262,                 2.1596,                 2.2248,                0.06409,                0.11765,                0.02111,                0.00517,                 3.5904,                 5.5214,                  4.007,              0.0018416,              0.0018416,              0.0018416
                     18,                 2.3638,                 2.1569,                 2.1532,                0.18163,                0.17647,                 0.0673,                0.01596,                   3.12,                  6.992,                 3.1827,              0.0018317,              0.0018317,              0.0018317
                     19,                 2.3629,                 2.2236,                  2.154,                0.13619,                0.11765,                0.05558,                0.00807,                 3.3725,                 5.2141,                 3.7421,              0.0018218,              0.0018218,              0.0018218
                     20,                 2.3458,                 2.3373,                  2.167,                0.03329,                0.16176,                0.01148,                0.00284,                 3.2304,                 6.1331,                 3.2937,              0.0018119,              0.0018119,              0.0018119
                     21,                  2.267,                 2.2086,                 2.1483,                0.04942,                0.20588,                0.01936,                0.00398,                 3.2705,                 5.9898,                 3.1302,               0.001802,               0.001802,               0.001802
                     22,                  2.307,                 2.1649,                 2.1485,                0.29705,                0.22059,                0.10506,                 0.0337,                 2.8989,                 4.4431,                 2.8746,              0.0017921,              0.0017921,              0.0017921
