                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7248,                 7.5317,                  2.864,                0.04539,                0.13636,                 0.0464,                0.00874,                 2.7944,                  8.701,                 2.9472,                 0.0002,                 0.0002,                 0.0002
                      2,                 2.4261,                 3.4229,                 2.2581,                 0.2316,                0.21212,                0.14613,                0.04173,                 2.9478,                 8.9726,                 3.0456,             0.00041792,             0.00041792,             0.00041792
                      3,                 2.2695,                 2.7445,                 2.1632,                0.23872,                 0.1663,                0.08875,                0.02331,                 2.8683,                 4.6757,                 2.9479,             0.00063366,             0.00063366,             0.00063366
                      4,                  2.448,                  2.694,                  2.238,                0.11105,                0.12121,                0.04468,                0.01583,                 3.1866,                 6.0679,                 4.7951,             0.00084723,             0.00084723,             0.00084723
                      5,                 2.4519,                 2.5783,                 2.2402,                0.03143,                0.10606,                0.01101,                 0.0031,                 3.3619,                 11.789,                 3.5205,              0.0010586,              0.0010586,              0.0010586
                      6,                 2.5218,                 2.6025,                 2.3025,                0.08544,                0.22727,                0.05906,                0.02283,                 3.1767,                     17,                 4.3908,              0.0012678,              0.0012678,              0.0012678
                      7,                 2.4622,                  2.784,                 2.2667,                0.05455,                0.27273,                0.02286,                0.00682,                 3.2641,                 60.607,                 8.9733,              0.0014749,              0.0014749,              0.0014749
                      8,                 2.4613,                 2.5532,                 2.2347,                 0.0595,                0.12121,                0.01424,                0.00349,                 3.2985,                 4.3316,                 5.0154,              0.0016797,              0.0016797,              0.0016797
                      9,                 2.5171,                 2.4978,                  2.251,                0.07902,                0.07576,                0.02481,                  0.005,                 3.3174,                 7.0133,                 10.653,              0.0018824,              0.0018824,              0.0018824
                     10,                 2.4893,                 2.4306,                 2.2719,                0.00423,                0.07576,                0.00152,                0.00034,                 4.4053,                 53.176,                 7.9569,              0.0019109,              0.0019109,              0.0019109
                     11,                 2.5315,                 2.5284,                 2.3898,                0.08515,                0.13636,                0.03938,                0.01111,                 3.7153,                 55.039,                 5.7216,               0.001901,               0.001901,               0.001901
                     12,                 2.6069,                 2.5409,                 2.4553,                0.01735,                0.31818,                0.00908,                0.00179,                 3.3996,                 28.828,                 3.7952,              0.0018911,              0.0018911,              0.0018911
                     13,                 2.4873,                 2.5025,                 2.3184,                 0.0229,                0.09091,                0.00407,                0.00087,                 3.8161,                 107.12,                 5.6396,              0.0018812,              0.0018812,              0.0018812
                     14,                 2.4735,                 2.4499,                 2.2847,                0.00261,                0.15152,                0.00146,                0.00039,                 4.0217,                 32.256,                 5.1926,              0.0018713,              0.0018713,              0.0018713
                     15,                 2.4477,                   2.55,                 2.2625,                0.00162,                0.04545,                0.00078,                0.00022,                 4.4243,                 21.326,                 5.8936,              0.0018614,              0.0018614,              0.0018614
                     16,                 2.4682,                 2.5756,                 2.2799,                0.00821,                0.16667,                0.00332,                0.00079,                 3.8963,                 51.356,                  4.192,              0.0018515,              0.0018515,              0.0018515
                     17,                 2.2839,                 2.3405,                 2.2182,                 0.0107,                 0.0303,                0.00449,                0.00155,                 3.2654,                 82.588,                 3.4017,              0.0018416,              0.0018416,              0.0018416
                     18,                 2.3741,                 2.3238,                 2.2331,                0.00867,                0.19697,                0.00427,                0.00112,                 3.2805,                 11.134,                 3.5996,              0.0018317,              0.0018317,              0.0018317
                     19,                 2.3222,                 2.2987,                 2.2247,                0.38545,                0.12121,                0.12139,                0.03392,                 2.7687,                 5.0518,                 2.7887,              0.0018218,              0.0018218,              0.0018218
                     20,                  2.399,                 2.4653,                  2.232,                0.23586,                0.10606,                0.06999,                0.01702,                 3.0619,                 5.2888,                 3.0419,              0.0018119,              0.0018119,              0.0018119
                     21,                 2.4597,                  2.377,                 2.2932,                0.33648,                0.16667,                0.09644,                0.02391,                  3.002,                 4.5709,                 3.1407,               0.001802,               0.001802,               0.001802
                     22,                 2.3042,                 2.3862,                 2.1917,                0.19499,                0.22727,                0.09515,                0.03868,                 3.1039,                 4.3505,                 3.1374,              0.0017921,              0.0017921,              0.0017921
